Name,Address,City,State,Post code,GPS Latitude,GPS Longitude,telephone,Open 24 hours,mon,tue,wed,thu,fri,sat,sun
AA CALDER HWY OUTBOUND,937 CALDER FREEWAY (CNR HOLDEN RD),CALDER PARK,VIC,3037,-37.665087,144.748499,+61 3 9390 3955,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP COOMERA,CNR PACIFIC HWY & ABRAHAM RD,UPPER COOMERA,QLD,4209,-27.860643,153.308775,+61 7 5502 8004,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP COLLEGE VIEW,CNR VILLIS RD & WARREGO HWY,GATTON,QLD,4343,-27.5443,152.3448,+61 488 444 805,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP CAPTAINS MOUNTAIN,GORE HIGHWAY,MILLMERRAN,QLD,4357,-27.9306,151.1694,+61 7 4695 4187,FALSE,05:00-23:30,05:00-23:30,05:00-23:30,05:00-23:30,05:00-23:30,05:00-23:30,05:00-23:30
BP TOWNSVILLE TRUCKSTOP,CORNER RACECOURSE ROAD & LAKESIDE DRIVE,IDALIA,QLD,4811,-19.316127,146.819834,+61 7 4778 3000,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP TERMEIL,1600 PRINCESS HIGHWAY,TERMEIL,NSW,2539,-35.4855,150.3389,+61 433 873 456,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP OPT NEWMAN SOUTH,LOT 10 GREAT NORTHERN HIGHWAY,NEWMAN,WA,6753,-23.350683,119.741126,+61 1300 130 027,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP COCKLEBIDDY,EYRE HIGHWAY,COCKLEBIDDY,WA,6443,-32.0377,126.0972,90393462,FALSE,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00
BP EASTERN CREEK,Lot 558 OLD WALLGROVE ROAD,EASTERN CREEK,NSW,2766,-33.8114,150.850375,+61 2 9620 2690,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP TOMINGLEY,48-50 NEWELL HIGHWAY,TOMINGLEY,NSW,2869,-32.5698,148.2218,+61 2 6869 3209,FALSE,04:00-00:00,04:00-00:00,04:00-00:00,04:00-00:00,04:00-00:00,04:30-23:00,04:30-23:00
BP DUBBO (ERSKINE ST),107 ERSKINE STREET,DUBBO,NSW,2830,-32.244285,148.611239,+61 2 6882 8548,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
24 SEVEN BLANCHETOWN,8657 Sturt Highway,Blanchetown,SA,5357,-34.3507,139.603,+61 8 8540 5060,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP CABOOLTURE (NORTHBOUND),LOT 28-29 BRUCE HWY,CABOOLTURE,QLD,4510,-27.124841,152.976562,+61 7 5433 0522,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP HAIGSLEA,2312 WARREGO HIGHWAY,HAIGSLEA,QLD,4306,-27.568678,152.623099,+61 7 5467 6128,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP CARNARVON,1134 NORTH WEST COASTAL HIGHWAY,CARNARVON,WA,6701,-24.8621,113.7127,+61 8 9941 8896,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP WILLIAMS,14 ALBANY HIGHWAY,WILLIAMS,WA,6391,-33.032359,116.880106,+61 8 9885 1135,FALSE,,,,,,,
BP BALDIVIS (NORTHBOUND),Lot 191 PAPARONE ROAD,BALDIVIS,WA,6171,-32.3097,115.83,+61 8 9523 0979,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
AMPM GLENDAMBO TRAVELSTOP,STUART HIGHWAY,GLENDAMBO,SA,5710,-30.9702,135.7506,+61 8 8672 1035,FALSE,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00
BP AA WALLAN INBOUND,1050 HUME FREEWAY,WALLAN,VIC,3756,-37.4033,145.0172,+61 3 5783 1421,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP BRIDGE GARAGE TRUCKSTOP,LOT 11 CUNNINGHAM HIGHWAY,GOONDIWINDI,QLD,4390,-28.5458,150.3238,+61 7 4671 1377,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP KEWDALE,549 ABERNETHY ROAD,KEWDALE,WA,6105,-31.982,115.9751,+61 8 9353 6945,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP SOUTHERN CROSS,CNR GREAT EASTERN HWY & SPICE ST,SOUTHERN CROSS,WA,6426,-31.2317,119.3315,+61 8 9049 1162,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP DARLINGTON POINT,7 STURT HIGHWAY,DARLINGTON POINT,NSW,2706,-34.5942,145.9924,+61 2 6968 4369,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP DARWIN TRUCKSTOP,13 DISTRIBUTION DRIVE,WISHART,NT,822,-12.458088,130.941888,+61 8 7969 7117,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP WALLABADAH,10171 NEW ENGLAND HIGHWAY,WALLABADAH,NSW,2343,-31.550917,150.827792,+61 2 6746 5459,FALSE,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,06:00-20:00,07:00-20:00
BP BALRANALD,94 STURT HWY,BALRANALD,NSW,2715,-34.660094,143.560277,+61 3 4011 3000,FALSE,,,,,,,
BP AA PENINSULA LINK OUTBOUND,1400 PENINSULA LINK,BAXTER,VIC,3911,-38.2046,145.137,+61 3 5971 3276,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP EXPRESS MARULAN SOUTHBOUND,15597 HUME HIGHWAY,MARULAN SOUTH,NSW,2579,-34.7185,150.001,+61 2 4841 1877,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP LOGAN MOTORWAY TRAVEL CENTRE,92 RADIUS DRIVE,LARAPINTA,QLD,4110,-27.6405,153.01,+61 7 3272 3636,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP KARRATHA WEST,9 EXPLORATION DRIVE,KARRATHA,WA,6714,-20.7377,116.7661,+61 8 9143 0116,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP MITCHELL PARK,361 LEARMONTH ROAD,MITCHELL PARK,VIC,3355,-37.519774,143.804143,+61 3 5339 2665,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP MOREE (Greenbah Rd),65 GREENBAH RD,MOREE,NSW,2400,-29.462505,149.822702,+61 2 6752 7366,FALSE,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,08:00-14:00,
BP Brookton,4 CORBERDING ROAD,BROOKTON,WA,6306,-32.3661,117.0074,+61 8 9642 1017,FALSE,,,,,,,
BP COOINDA,CORNER OF OLD COOINDA RD,JABIRU,NT,886,-12.905052,132.521552,+61 8 8979 1500,FALSE,06:00-19:00,06:00-19:00,06:00-19:00,06:00-19:00,06:00-19:00,06:00-19:00,06:00-19:00
24 SEVEN PORT WAKEFIELD,8666 Port Wakefield Highway,Port Wakefield,SA,5550,-34.1889,138.1551,+61 8 8867 1104,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP NORTH ORANGE,5 HANRAHAN PLACE,NORTH ORANGE,NSW,2800,-33.25959,149.11434,+61 2 6318 7509,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP LITTLE RIVER (MELB BOUND),CNR PRINCES HWY & HUGHES RD,LITTLE RIVER,VIC,3211,-38.0017,144.4912,+61 3 5283 1585,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP OPT  CARNARVON,1134 NORTH WEST COASTAL HIGHWAY,CARNARVON,WA,6701,-24.86302,113.71259,+61 1300 130 027,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP TORBANLEA,BRUCE HIGHWAY,TORBANLEA,QLD,4662,-25.3574,152.59748,+61 7 4150 0918,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP MUCHEA,GREAT NORTHERN HIGHWAY,MUCHEA,WA,6501,-31.568008,115.994742,+61 8 9532 7002,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP PAGET,124 DIESEL DRIVE,PAGET,QLD,4740,-21.196222,149.150675,+61 7 4849 5455,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP KOOKA'S (ROMA),87 Arthur Street,ROMA,QLD,4455,-26.57397,148.78881,+61 7 4622 3807,FALSE,04:30-22:00,04:30-22:00,04:30-22:00,04:30-22:00,04:30-22:00,04:30-22:00,04:30-22:00
BP DUARINGA TRUCKSTOP,20 THERESA ST,DUARINGA,QLD,4712,-23.720523,149.66839,,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP COLAC EAST,10 DRAPERS ROAD,COLAC EAST,VIC,3250,-38.325983,143.626423,+61 3 5292 2709,FALSE,05:00-22:30,05:00-22:30,05:00-22:30,05:00-22:30,05:00-22:30,05:30-22:00,06:00-22:00
BP POTTS HILL TRUCKSTOP,155-157 ROCKWOOD ROAD,YAGOONA,NSW,2199,-33.8934,151.0387,+61 2 9790 5377,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP GUMLY GUMLY,1 TASMAN ROAD,GUMLY GUMLY,NSW,2652,-35.125939,147.421017,+61 2 6922 7197,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP NEWMAN SOUTH,LOT 10 GREAT NORTHERN HIGHWAY,NEWMAN,WA,6753,-23.45407,119.79809,+61 8 9175 0554,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP AUGATHELLA,CNR MAIN ST & LANSBOROUGH HWY,AUGATHELLA,QLD,4477,-25.793168,146.593207,+61 7 4654 5255,FALSE,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,06:00-14:00,06:00-14:00
BP COMPLEX TENNANT CREEK,LOT 1041 216 PATTERSON STREET,TENNANT CREEK,NT,860,-19.637121,134.192328,+61 8 8962 2626,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP EXPRESS MARULAN NORTHBOUND,15666 HUME HIGHWAY,MARULAN NORTH,NSW,2579,-34.7194,149.9951,+61 2 4841 1822,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP LITTLE RIVER (GEELONG BOUND),CNR PRINCESS HWY & POSTIES RD,LITTLE RIVER,VIC,3211,-38.0025,144.4926,+61 3 5283 1660,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP DONGARA,88 BRAND HIGHWAY,DONGARA,WA,6525,-29.2518,114.9403,+61 8 9927 1077,FALSE,,,,,,,
AMPM STRATHALBYN,9-15 SOUTH TERRACE,STRATHALBYN,SA,5255,-35.258576,138.896538,+61 8 8419 4674,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP BALDIVIS (SOUTHBOUND),LOT 192 LEARY ROAD,BALDIVIS,WA,6171,-32.309125,115.832907,+61 8 9591 8222,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP PORT AUGUSTA TRUCKSTOP,HIGHWAY ONE,PORT AUGUSTA,SA,5700,-32.509183,137.795994,+61 8 8641 0202,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP SOUTH GLENROWAN,HUME HIGHWAY,GLENROWAN,VIC,3675,-36.4401,146.2498,+61 3 5766 2614,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP AA EASTLINK INBOUND,1500 CNR FERNTREE GULLY & WELLINGTON RD,SCORESBY,VIC,3179,-37.9132,145.2149,+61 3 9753 2924,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP BERESFIELD,LOT 201 JOHN RENSHAW DRIVE,BERESFIELD,NSW,2322,-32.8117,151.6394,+61 2 4964 4555,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
bp FLOOPERS ROADHOUSE,2263 MANDURAH ROAD,KARNUP,WA,6176,-32.427317,115.774784,+61 8 9537 1264,FALSE,04:00-21:00,04:00-21:00,04:00-21:00,04:00-21:00,04:00-21:00,04:00-21:00,04:00-21:00
BP SOMERSBY,51 SMITHS ROAD,SOMERSBY,NSW,2250,-33.35716,151.28787,+61 1300 105 039,FALSE,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00
BP ROEBUCK PLAINS,Lot 136 BROOME ROAD,ROEBUCK PLAINS,WA,6725,-17.8483,122.5004,+61 8 9192 1880,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP BARK HUT INN,3737 ARNHEM HIGHWAY,MOUNT BUNDEY,NT,822,-12.9,131.675725,+61 447 051 862,FALSE,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00,06:00-18:00
BP NORSEMAN,CNR EYRE & ESPERANCE HIGHWAYS,NORSEMAN,WA,6443,-32.1856,121.7792,+61 8 9039 1010,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP NYNGAN,180 MITCHELL HIGHWAY,NYNGAN,NSW,2825,-31.5633,147.2001,+61 2 6832 2188,FALSE,04:00-23:59,04:00-23:59,04:00-23:59,04:00-23:59,04:00-23:59,04:00-23:59,05:00-23:00
BP NORTH ALBURY TRUCKSTOP,3 TRAVELSTOP WAY,LAVINGTON,NSW,2641,-36.0358,146.9709,+61 2 6040 2299,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP OPT BLACKALL,8-10 SHAMROCK STREET,BLACKALL,QLD,4472,-24.427727,145.47526,,FALSE,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00
BP KALGOORLIE,CELEBRATION ROAD,KALGOORLIE,WA,6430,-30.806289,121.489906,+61 8 9093 0266,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP PARKES GATEWAY,53 Westlime Road,Parkes,NSW,2870,-33.128583,148.15343,+61 2 6862 1188,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP ARCHERFIELD,CNR RANDOLPH ST AND BOUNDARY RD,ARCHERFIELD,QLD,4108,-27.5656,152.9983,+61 7 3255 5522,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP JERILDERIE,13 SOUTHEY STREET,JERILDERIE,NSW,2716,-35.360729,145.7196,+61 3 5886 1378,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP NORTH GLENROWAN,HUME FREEWAY,GLENROWAN,VIC,3675,-36.439,146.248,+61 3 5766 2741,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP THE LAKES,CNR GREAT EAST & GREAT SOUTH HWYS,THE LAKES,WA,6556,-31.8756,116.3204,+61 8 9572 6011,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP DANDENONG (Green Rd),175-187 GREENS ROAD (CNR HAMMOND ROAD),DANDENONG,VIC,3175,-38.012667,145.20528,+61 3 9792 0664,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP ST GEORGE,85 VICTORIA STREET,ST GEORGE,QLD,4487,-28.0348,148.5834,+61 7 3521 8128,FALSE,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00
BP RAGLAN,39 SYDNEY ROAD,RAGLAN,NSW,2795,-33.4226,149.6487,+61 2 6337 3739,FALSE,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00
bp UNCLE LEO'S ROADHOUSE,1 CAMPBELLTOWN ROAD,GLENFIELD,NSW,2167,-33.963338,150.880811,+61 2 9824 2888,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
OPT Roebuck Plains Roadhouse,Lot 136 BROOME ROAD,ROEBUCK PLAINS,WA,6725,-17.847643,122.500337,+61 8 9192 1880,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP BLACK MOUNTAIN,3174 NEW ENGLAND HIGHWAY,BLACK MOUNTAIN,NSW,2365,-30.3148,151.6899,+61 2 6775 0166,FALSE,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30,09:00-18:30
BP CHINDERAH (OZONE ST),68-89 OZONE STREET,CHINDERAH,NSW,2487,-28.243891,153.557047,+61 2 6674 1093,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP AA EASTLINK OUTBOUND,1501 CNR FERNTREE GULLY & WELLINGTON RD,SCORESBY,VIC,3179,-37.9133,145.2167,+61 3 9753 3105,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP BLACKALL,8-10 SHAMROCK STREET,BLACKALL,QLD,4472,-24.427703,145.475377,+61 7 4657 4422,FALSE,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00
BP SANDFIRE ROADHOUSE,NORTH WEST COASTAL HIGHWAY,EIGHTY MILE BEACH,WA,6725,-19.7686,121.0913,+61 8 9176 5944,FALSE,,,,,,,
BP NEMINGHA,464-468 ARMIDALE ROAD,NEMINGHA,NSW,2340,-31.1237,150.9836,+61 2 6760 9506,FALSE,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,06:00-22:00,06:00-22:00
BP CABOOLTURE (SOUTHBOUND),SOUTH BOUND BRUCE HIGHWAY,CABOOLTURE,QLD,4510,-27.12327,152.97817,+61 7 5433 0452,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP ARATULA TRUCKSTOP,6883 CUNNINGHAM HIGHWAY,ARATULA,QLD,4309,-27.9912,152.5389,+61 7 5463 8571,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP CAMPERDOWN (VIC),319 MANIFOLD STREET,CAMPERDOWN,VIC,3260,-38.2271,143.1376,+61 3 5593 1716,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP STAPYLTON,CNR PACIFIC HWY & STAPYLTON-JACO,STAPYLTON,QLD,4207,-27.733015,153.227949,+61 7 3807 0750,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP TEMORA ROADHOUSE,193-197 VICTORIA STREET,TEMORA,NSW,2666,-34.4489,147.5352,,FALSE,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00
BP OPT DENILIQUIN,CNR HARDING AND SLOANE STREETS,DENILIQUIN,NSW,2710,-35.53245,144.95204,+61 3 5881 2411,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
,,,,,,,,,,,,,,,
SHELL COOBER PEDY ROADHOUSE,454 Hutchison St Coober Pedy SA 5723,,,,,,0886725350,,,,,,,,
,,,,,,,,,,,,,,,
SHELL OTR PORT AUGUSTA,10 Augusta Hwy Port Augusta SA 5700,,,,,,0882005720,,,,,,,,
,,,,,,,,,,,,,,,
SHELL DESERT OAKS MOTEL ERLDUNDA,19668 Stuart Hwy (Cnr Lasseter Hwy) Ghan NT 0872,,,,,,0889560984,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL BORDER VILLAGE,Eyre Highway Nullarbor SA 5690,,,,,,0890393474,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS TAILEM BEND,69-71 Princes Hwy Tailem Bend SA 5260,,,,,,0875478951,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS ALICE SPRINGS,Dalgety Rd & Lilbili St Alice Springs NT 0870,,,,,,0889291946,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL BURONGA,141 Sturt Hghway Buronga NSW 2739,,,,,,0350221766,,,,,,,,
,,,,,,,,,,,,,,,
SHELL WERRIGAR ROADHOUSE,213 Henty Hwy (Cnr Buronga Hwy) Warracknabeal VIC 3393,,,,,,0353982144,,,,,,,,
,,,,,,,,,,,,,,,
SHELL HAY SOUTH,Sturt Hwy Hay NSW 2711,,,,,,0269931544,,,,,,,,
,,,,,,,,,,,,,,,
SHELL HEYWOOD,2058 Henty Highway Heywood VIC 3304,,,,,,0355271371,,,,,,,,
,,,,,,,,,,,,,,,
SHELL PORTLAND,615 Henty Hwy Portland VIC 3305,,,,,,0355217227,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS MOUNT ISA TRUCKPORT,221-239 Barkly Hwy Mount Isa QLD 4825,,,,,,0744134847,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL FINLEY,Cnr Newell Hwy & Murray Hut Drive Finley NSW 2713,,,,,,0358833585,,,,,,,,
,,,,,,,,,,,,,,,
SHELL SEBASTOPOL,112-118 Hertford St. Sebastopol VIC 3356,,,,,,0353127178,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
