11312 Parkside Way, Las Vegas, NV 89138
1200 Parker Blvd, Buffalo, NY 14223
787 Delaware Ave, Buffalo, NY 14209
626 Abbott Rd, Buffalo, NY 14220
85 N Forest Rd, Buffalo, NY 14221
155 Lawn Ave, Buffalo, NY 14207
1 Seneca St, Buffalo, NY 14203
422 Pratt St, Buffalo, NY 14204
2881 Southwestern Blvd 5, Orchard Park, NY 14127
140 Halstead Ave, Buffalo, NY 14212
121 W Tupper St, Buffalo, NY 14201
1620 Southwestern Blvd, Buffalo, NY 14224
140 Chandler St, Buffalo, NY 14207
1500 Clinton St, Buffalo, NY 14206
1 Pool Plaza, Buffalo, NY 14223
735 Maryvale Dr, Cheektowaga, NY 14225
585 William St, Buffalo, NY 14206
31 Genesee St, Buffalo, NY 14202
4705 S Main St, Hemlock, NY 14466
off, Carlyle Green, Staten Island, NY 10312
222 Autumnwood Dr, Cheektowaga, NY 14227
2275 Union Rd, Cheektowaga, NY 14227
3737 Union Rd Ste 7, Cheektowaga, NY 14225
100 Thruway Plaza Dr, Cheektowaga, NY 14225
810 Losson Rd, Cheektowaga, NY 14227
2 Genesee St, Cherry Valley, NY 13320
67-09 Kissena Blvd, Flushing, NY 11367
10405 Main St, Clarence, NY 14031
1209 Bay Rd, Webster, NY 14580
399 Nassau Blvd, West Hempstead, NY 11552
600 Glen St YMCA, Glens Falls, NY 12801
195 Troy-Schenectady Rd, Latham, NY 12110
5833 Snyder Dr, Lockport, NY 14094
801 Hooper Rd, Endwell, NY 13760
100 3rd St, Cresskill, NJ 07626
5 Locust Ln, Clifton Park, NY 12065
22 Remsen St 40, Cohoes, NY 12047
71 Schermerhorn Rd, Cohoes, NY 12047
34 James St, Cohoes, NY 12047
969 Watervliet Shaker Rd, Colonie, NY 12205
30 Aviation Rd, Colonie, NY 12205
3 Thunder Rd, Colonie, NY 12205
Shambrook Pkwy, Colonie, NY 12205
9941 Fort Hamilton Pkwy, Brooklyn, NY 11209
155 Bay St, Brooklyn, NY 11231
98-38 57th Ave, Corona, NY 11368
43 West Ave, Dansville, NY 14437
9616 Commerce Dr, Dansville, NY 14437
78 Dumbarton Dr, Delmar, NY 12054
570 Gould Ave, Depew, NY 14043
93 Honorine Dr, Depew, NY 14043
575 Vanderbilt Pkwy, Dix Hills, NY 11746
8586 Transit Rd, East Amherst, NY 14051
4415 Millersport Hwy, East Amherst, NY 14051
20 Community Way, East Greenbush, NY 12061
16 Mill Creek Dr, East Greenbush, NY 12061
100 E Ivy St, East Rochester, NY 14445
101 Ontario St, East Rochester, NY 14445
145 Averill Blvd, Elmont, NY 11003
3333 W Henrietta Rd, Rochester, NY 14623
4646 Fairport Nine Mile Point Rd 2, Fairport, NY 14450
1350 Turk Hill Rd, Fairport, NY 14450
200 Towne Dr, Fayetteville, NY 13066
36 River Rd, New York, NY 10044
124 Stewart St, Floral Park, NY 11001
131-40 Fowler Ave, Flushing, NY 11355
139-10 34th Ave, Flushing, NY 11354
138-46 Northern Blvd, Flushing, NY 11354
257 Washington Ave Ext, Albany, NY 12205
71 Columbus Ave, Tuckahoe, NY 10707
11300 NY-149, Fort Ann, NY 12827
130 E Merrick Rd, Freeport, NY 11520
134 community dr, Rutland, VT 05701
215 Ballard Rd 1356, Gansevoort, NY 12831
399 W William St, Geneva, NY 14456
2640 N Forest Rd, Getzville, NY 14068
25 Driving Park Ave, Rochester, NY 14613
3278 Whitehaven Rd, Grand Island, NY 14072
340 Whitehall Rd, Albany, NY 12208
180 W 135th St, New York, NY 10030
12 Shore Dr, Great Neck, NY 11021
530 Van Binsberger Blvd, Paramus, NJ 07652
601 Gertrude Ave, Syracuse, NY 13209
400 Andrews St, Rochester, NY 14604
310 Elmridge Center Dr, Greece, NY 14626
Elmridge, 500 Elmridge Center Dr, Rochester, NY 14626
250 Winding Brook Dr, Guilderland, NY 12084
5928 State Farm Rd, Guilderland, NY 12084
2080 Western Ave, Guilderland, NY 12084
