original_address,lat,lon
"1920 Mayfair Dr, Homewood, AL 35209",33.474803,-86.787662
"800 Oak Grove Rd, Homewood, AL 35209",33.456623,-86.828621
"600 Municipal Dr, Hoover, AL 35216",33.38863565,-86.80131944
"400 Park Trace Cir, Hoover, AL 35244",33.345585,-86.84436
"7735 Mobile Hwy, Hope Hull, AL 36043",32.266927,-86.3551212
"1127 Tyson Rd, Hope Hull, AL 36043",32.195513,-86.416386
"1582 US-72, Huntsville, AL 35811",34.77352485,-86.53699493
"2064 US-72, Huntsville, AL 35811",34.77223881,-86.51570353
"12820 Co Rd 42, Jemison, AL 35085",32.980958,-86.686282
"12089 Stemley Rd, Lincoln, AL 35096",33.58956321,-86.16314927
"130 Honda Dr, Lincoln, AL 35096",33.618272,-86.141403
"75246 AL-77, Lincoln, AL 35096",33.5877288,-86.1253085
"Bankhead Dam Al Power, Lock 17 Rd, Brookwood, AL 35444",33.30480007,-87.29387213
"2250 AL-150, Hoover, AL 35244",33.35005432,-86.8723091
"6098 McAshan Dr, McCalla, AL 35111",33.325357,-87.049547
"22183 AL-216, McCalla, AL 35111",33.2788385,-87.0989727
"22526 AL-216, McCalla, AL 35111",33.27845197,-87.12149773
"22208 AL-216, McCalla, AL 35111",33.2796067,-87.10012671
"3617 Hickory Ave SW, Birmingham, AL 35221",33.45589,-86.892591
"4700 Camp Grandview Rd, Millbrook, AL 36054",32.498361,-86.406315
"14025 AL-96, Millport, AL 35576",33.55964947,-88.11177782
"7680 Airport Blvd, Mobile, AL 36608",30.68454872,-88.22139969
"321 N Warren St, Mobile, AL 36603",30.69501955,-88.05280188
"John Kidd Playground, 800 East St, Mobile, AL 36610",30.73426411,-88.05797576
"1611 Belfast St, Mobile, AL 36605",30.667809,-88.07741
"558 Felhorn Rd E, Mobile, AL 36608",30.7034665,-88.2040045
"1151 SpringHill Ave, Mobile, AL 36604",30.691681,-88.061858
"3100 Bank Ave, Mobile, AL 36617",30.7220342,-88.1132626
"2563-3243 Windmill Dr, Mobile, AL 36693",30.63824779,-88.16570615
"5401 Windmill Dr, Mobile, AL 36693",30.6377542,-88.1664805
"658 Donald St C, Mobile, AL 36617",30.711737,-88.086998
"5310 Colonial Oaks Dr, Mobile, AL 36618",30.7304008,-88.16677959
"101 N Water St 3904, Mobile, AL 36602",30.694497,-88.039784
"150 Dauphin St, Mobile, AL 36602",30.6916936,-88.0422635
"St Rickarby Park, 550 Rickarby St, Mobile, AL 36606",30.67178,-88.083843
"850 Edwards St, Mobile, AL 36610",30.737152,-88.058591
"2150 Demetropolis Rd, Mobile, AL 36693",30.64686924,-88.15716908
"51 Jaguar Blvd, Mobile, AL 36688",30.69278577,-88.18575987
"1050 Baltimore St, Mobile, AL 36605",30.666046,-88.061242
"351 N Catherine St, Mobile, AL 36603",30.69922477,-88.07239226
"1018 Madison Ave, Montgomery, AL 36104",32.38024686,-86.29500953
"7420 Aum Dr, Montgomery, AL 36117",32.362686,-86.180845
"Bldg 89 Ash St, Montgomery, AL 36112",32.38094202,-86.35036896
"2435 Bell Rd, Montgomery, AL 36117",32.3458516,-86.19408896
"850 S Lawrence St, Montgomery, AL 36104",32.36587124,-86.30585827
"206 Federal Dr, Montgomery, AL 36107",32.38319655,-86.2722998
"800 N Eastern Blvd, Montgomery, AL 36117",32.405647,-86.213462
"1201 Rosa L Parks Ave, Montgomery, AL 36108",32.36101429,-86.31690471
"1580 Eastern Blvd, Montgomery, AL 36117",32.35656367,-86.21698011
"3407 Pelzer Ave, Montgomery, AL 36109",32.38895178,-86.2562321
"300 Brown Springs Rd, Montgomery, AL 36117",32.37908793,-86.17986956
"3450 Le Bron Rd, Montgomery, AL 36111",32.34147007,-86.29460331
"7150 Halcyon Park Dr STE B, Montgomery, AL 36117",32.33991843,-86.1735043
"205 Perry Hill Rd, Montgomery, AL 36109",32.3800017,-86.24679096
"2390 Cong W L Dickinson Dr, Montgomery, AL 36109",32.414646,-86.235231
"3315 Hayneville Rd, Montgomery, AL 36108",32.3483996,-86.355934
"207 Hall St, Montgomery, AL 36104",32.377996,-86.29148
"1445 Wilson Park Dr, Montgomery, AL 36117",32.30397712,-86.15092518
"2229 W Fairview Ave, Montgomery, AL 36108",32.35127389,-86.33054911
"1249 Hugh St, Montgomery, AL 36108",32.3599273,-86.33145638
"3455 Carter Hill Rd, Montgomery, AL 36111",32.34270103,-86.2607672
"604 Augusta Ave, Montgomery, AL 36111",32.34177888,-86.29754412
"1010 Forest Ave, Montgomery, AL 36106",32.36908337,-86.28655708
"1035 W South Blvd, Montgomery, AL 36105",32.3271076,-86.2941864
"3501 Faro Dr, Montgomery, AL 36110",32.43423077,-86.28440178
"4925Lake, Edge Hill Ln, Montgomery, AL 36116",32.315067,-86.236978
"2625 Kelly Creek Rd, Moody, AL 35004",33.6002301,-86.4497474
"117 20th St S, Birmingham, AL 35233",33.51171173,-86.80370994
"3800 E 2nd St, Muscle Shoals, AL 35661",34.758551,-87.617395
"2690 Kelly Creek Rd, Odenville, AL 35120",33.5793429,-86.4746226
"3771 US-231, Ozark, AL 36360",31.50523706,-85.69786537
"2020 Pelham Park Blvd, Pelham, AL 35124",33.3064575,-86.80935178
"2610 Pelham Pkwy, Pelham, AL 35124",33.31799316,-86.79855564
"7249 Troy Hwy, Pike Rd, AL 36064",32.259041,-86.1554
"200 Waters View Dr, Pike Rd, AL 36064",32.346456,-86.028673
"256 Doster St, Prattville, AL 36067",32.45642266,-86.46665507
"600 E Main St, Prattville, AL 36067",32.459678,-86.45871
"972 McQueen Smith Rd S, Prattville, AL 36066",32.45185375,-86.4182461
"445 Diaz St, Prichard, AL 36610",30.74450139,-88.0728073
"3427 Colonnade Pkwy, Birmingham, AL 35243",33.4368528,-86.7304653
"27801 Co Rd 64 Ext, Robertsdale, AL 36567",30.5552959,-87.7109526
"92 Saraland Loop, Saraland, AL 36571",30.82486854,-88.07375
"1403 Industrial Pkwy, Saraland, AL 36571",30.80250559,-88.1122918
"466 Baldwin St, Satsuma, AL 36572",30.833703,-88.063444
"6109 US-43, Satsuma, AL 36572",30.85354285,-88.05658193
"428 Main St, Shorter, AL 36075",32.40457683,-85.95517834
"Meaher State Park, 5200 Battleship Pkwy, Spanish Fort, AL 36527",30.668884,-87.93124
"6729-A Spanish Fort Blvd, Spanish Fort, AL 36527",30.66966677,-87.90706498
"5920 Valley Rd, Trussville, AL 35173",33.63946483,-86.61567409
"5550 Government Blvd, Theodore, AL 36582",30.5874417,-88.1696374
"5925 US-90, Theodore, AL 36582",30.555934,-88.17421421
"6718 AL-69, Tuscaloosa, AL 35405",33.26726346,-87.57173479
"4416 Skyland E Blvd, Tuscaloosa, AL 35405",33.17189616,-87.48003671
"1460 AL-20, Tuscumbia, AL 35674",34.71160745,-87.66778542
"2048 AL-20, Tuscumbia, AL 35674",34.6968317,-87.6360941
"2125 AL-20, Tuscumbia, AL 35674",34.71160745,-87.66778542
"76 AL-20, Tuscumbia, AL 35674",34.6968317,-87.6360941
"21731 US-72, Tuscumbia, AL 35674",34.714581,-87.677484
"3680 AL-81, Tuskegee, AL 36083",32.4685513,-85.689796
"1973 Merryvale Rd, Vestavia Hills, AL 35216",33.4345771,-86.79227467
"200 Lancaster St, Wetumpka, AL 36092",32.550438,-86.210992
"200 Red Eagle Dr, Wetumpka, AL 36092",32.55621569,-86.18738379
"220 Vincent St, North Perth WA 6006",-31.93569295,115.8490052
"2600 W I-65 Service Rd N, Whistler, AL 36612",30.7565771,-88.1030565
"7016 AL-129, Winfield, AL 35594",33.94530996,-87.77694049
"17702 AL-17, York, AL 36925",32.55983536,-88.29982749
"9201 Grand Bay, AL 36541",30.4763084,-88.3422303
"Mobile, AL 36608",30.69336318,-88.18973811
"632 W 6th Ave, Anchorage, AK 99501",61.21630785,-149.8948533
"2638 Lauren Creek Loop, Anchorage, AK 99507",61.172847,-149.8326325
"1101 Golden Bear Dr, Anchorage, AK 99504",61.23256465,-149.7323966
"1121 E 10th Ave, Anchorage, AK 99501",61.212715,-149.8622792
"794 Davis Hwy, Anchorage, AK 99505",61.2619962,-149.7007838
"315 Price St, Anchorage, AK 99508",61.22619152,-149.811973
"1251 Muldoon Rd, Anchorage, AK 99504",61.2105662,-149.7332744
"150 N Ingra St, Anchorage, AK 99501",61.222134,-149.868609
"2020 W 48th Ave, Anchorage, AK 99517",61.17715236,-149.921039
"1701 C St, Anchorage, AK 99501",61.20524757,-149.8871773
"4256 Reka Dr, Anchorage, AK 99508",61.20430874,-149.8004447
"1700 Hillcrest Dr, Anchorage, AK 99509",61.201634,-149.916699
"16525 S Birchwood Loop Rd, Chugiak, AK 99567",61.3694619,-149.5382835
"12001 Business Blvd 123, Eagle River, AK 99577",61.3294884,-149.569655
"Bldg 4414, Joint Base Elmendorf-Richardson, AK 99506",61.235518,-149.745161
"2909 W 88th Ave, Anchorage, AK 99502",61.141179,-149.9346576
"Anchorage, AK 99505",61.26041195,-149.6667358
"1717 N 12th St, Phoenix, AZ 85006",33.46732692,-112.0562412
"10500 N Frontage Rd, Yuma, AZ 85365",32.6727601,-114.4480847
"4444 N 51st Ave, Phoenix, AZ 85031",33.50165379,-112.168713
"1231 E Oak St, Mesa, AZ 85203",33.47283275,-111.8042237
"100 N Apache Trail, Apache Junction, AZ 85120",33.416364,-111.548771
"6109 N Apache Trail, Apache Junction, AZ 85119",33.46164594,-111.4854366
"42 Park Ave, Ash Fork, AZ 86320",35.22432093,-112.4880499
"306 S Jefferson Ave, Mesa, AZ 85208",33.41324222,-111.678343
"6161 E Benson Hwy, Tucson, AZ 85756",32.11739664,-110.8633273
"1610 S Miller Rd, Buckeye, AZ 85326",33.43096455,-112.5919462
"125 E Commonwealth Ave, Chandler, AZ 85225",33.30300915,-111.8395192
"1655 W Frye Rd, Chandler, AZ 85224",33.2979085,-111.8697608
"900 E Pecos Rd UNIT 8, Chandler, AZ 85225",33.292488,-111.796363
"3838 S Arizona Ave, Chandler, AZ 85248",33.2494845,-111.8419629
"660 North Desert Breeze Blvd E, Chandler, AZ 85226",33.31414583,-111.9191185
"350 N Arizona Ave, Chandler, AZ 85225",33.3088935,-111.84134
"2100 N Dobson Rd, Chandler, AZ 85224",33.337282,-111.8776633
"5901 S Hillcrest Dr, Chandler, AZ 85249",33.2203979,-111.7628381
"252 S Boxwood Dr, Chandler, AZ 85248",33.2096472,-111.8576447
"3850 S McQueen Rd, Chandler, AZ 85286",33.2505,-111.8261
"250 S Kyrene Rd, Chandler, AZ 85226",33.29703506,-111.9455853
"7465 S Adora Blvd, Gilbert, AZ 85298",33.2142759,-111.7376856
"4855 E Warner Rd Suites A24 - A28, Phoenix, AZ 85044",33.330405,-111.978762
"1730 S Roosevelt St, Tempe, AZ 85281",33.41019429,-111.94795
"7070 S Rural Rd, Tempe, AZ 85283",33.3558878,-111.9292717
"858 S Greenfield Rd, Gilbert, AZ 85296",33.33384767,-111.7384246
"I-10 Exit, 1 Frontage Rd N, Ehrenberg, AZ 85334",33.60340864,-114.5221472
"18221 Tom Wells Rd, Ehrenberg, AZ 85334",33.6246,-114.4382
"5000 Sunland Gin Rd, Eloy, AZ 85131",32.828514,-111.671058
"At, Sunland Gin Rd, Eloy, AZ 85131",32.71435807,-111.6715491
"619 S Sunshine Blvd, Eloy, AZ 85131",32.738878,-111.54984
"5240 Sunland Gin Rd, Eloy, AZ 85131",32.82585656,-111.6711062
"2949 N Toltec Rd, Eloy, AZ 85131",32.77836839,-111.6192986
"5235 N Sunland Gin Rd, Eloy, AZ 85131",32.82587718,-111.6709101
"3105 N Toltec Rd, Eloy, AZ 85131",32.77867515,-111.6192907
"16189 S Sunshine Blvd, Eloy, AZ 85131",32.73238015,-111.5493848
"7180 US-89, Flagstaff, AZ 86004",35.1987522,-111.651822
"21275 Resort Blvd, Flagstaff, AZ 86004",35.1987522,-111.651822
"13001 N La Montana Dr, Fountain Hills, AZ 85268",33.6035023,-111.7209037
"802 E Vogel Ave, Phoenix, AZ 85020",33.57369555,-112.0625952
"3685 Autumn Dr, Gilbert, AZ 85297",33.28438045,-111.6992599
"2502 E Ray Rd, Gilbert, AZ 85296",33.3222628,-111.7364007
"2214 E Pecos Rd, Gilbert, AZ 85297",33.293793,-111.741727
"130 N Oak St, Gilbert, AZ 85233",33.352122,-111.7925469
"1141 E Guadalupe Rd, Gilbert, AZ 85234",33.36392375,-111.7665333
"1775 E Queen Creek Rd, Gilbert, AZ 85297",33.26264105,-111.7515916
"5401 W Ocotillo Rd, Glendale, AZ 85301",33.5347979,-112.1752496
"34250 N 60th St, Scottsdale, AZ 85266",33.79608455,-111.9527189
"101 E Lower Buckeye Rd, Avondale, AZ 85323",33.42074054,-112.3485076
"430 E Loma Linda Blvd, Goodyear, AZ 85338",33.442871,-112.352272
"14145 Palm Valley Blvd, Goodyear, AZ 85395",33.4706573,-112.3634151
"2919 N Litchfield Rd, Goodyear, AZ 85395",33.4790454,-112.3588932
"1851 State Hwy 77, Holbrook, AZ 86025",34.974004,-110.090146
"3747 Express Dr, Holbrook, AZ 86025",34.9037105,-110.1593261
"2770 Historic Rte 66, Kingman, AZ 86401",35.17053104,-114.0607547
"3300 E Andy Devine Ave, Kingman, AZ 86401",35.221396,-114.006667
"6035 Minerva Ln, Kingman, AZ 86401",35.199705,-113.904422
"970 S Blake Ranch Rd, Kingman, AZ 86401",35.177026,-113.785046
"946 W Beale St, Kingman, AZ 86401",35.190098,-114.070113
"14750 AZ-95, Lake Havasu City, AZ 86404",34.55245174,-114.3574706
"7858 S 35th Ave, Laveen Village, AZ 85339",33.37570458,-112.1340352
"5230 St Johns Rd, Laveen Village, AZ 85339",33.294109,-112.171045
"11275 W Civic Ctr Dr, Avondale, AZ 85323",33.44367445,-112.3007096
"3131 E Windsor Ave, Phoenix, AZ 85008",33.4785542,-112.0143481
"15112 W Camelback Rd, Litchfield Park, AZ 85340",33.509126,-112.384902
"3225 Rincon Rd, Littlefield, AZ 86432",36.8874662,-113.9395519
"1030 E Liberty Ln, Phoenix, AZ 85048",33.29676605,-112.0598679
"745 E Germann Rd, Chandler, AZ 85286",33.27700413,-111.8320211
"14414 S Cross L Rd, Mayer, AZ 86333",34.334441,-112.117721
"14905 Cordes Lakes Rd, Mayer, AZ 86333",34.331528,-112.1235
"59 E Broadway Rd, Mesa, AZ 85210",33.4075455,-111.8293942
"605 N Westwood, Mesa, AZ 85201",33.42603112,-111.8523861
"10100 E Ray Rd, Mesa, AZ 85212",33.3219505,-111.6160596
"120 S Jefferson Ave, Mesa, AZ 85208",33.412509,-111.6786987
"848 N Horne, Mesa, AZ 85203",33.43218475,-111.8161524
"2524 W Campo Alegre Cir, Mesa, AZ 85202",33.3817466,-111.8867012
"1024 W Main St, Mesa, AZ 85201",33.41515915,-111.8533531
"3165 E University Dr, Mesa, AZ 85213",33.42279997,-111.7634066
"526 E Main St, Mesa, AZ 85203",33.41514035,-111.8199867
"7550 E Adobe St, Mesa, AZ 85207",33.42974849,-111.6728759
"1807 S Sunview, Mesa, AZ 85206",33.3834779,-111.7058913
"3250 E Hermosa Vista Dr, Mesa, AZ 85213",33.4611164,-111.7597509
"2225 E Main St, Mesa, AZ 85213",33.41513625,-111.7832037
"3939 N Usery Pass Rd, Mesa, AZ 85207",33.4808771,-111.620903
"202 N Sycamore, Mesa, AZ 85201",33.4189339,-111.8711092
"101 W Glen Dr, Page, AZ 86040",36.995455,-111.564382
"2500 S California Ave, Parker, AZ 85344",34.1511182,-114.2891993
"8755 N 83rd Ave, Peoria, AZ 85345",33.56358306,-112.2376598
"8555 N 87th Ave, Peoria, AZ 85345",33.56005008,-112.2462791
"1617 W Papago St, Phoenix, AZ 85007",33.43394104,-112.0939268
"3711 E Altadena Ave, Phoenix, AZ 85028",33.5921559,-112.0020921
"1501 E Mohave St, Phoenix, AZ 85034",33.4312857,-112.0501908
"140 E Tonto St, Phoenix, AZ 85004",33.43817218,-112.0719241
"3216 W Van Buren St, Phoenix, AZ 85009",33.45144786,-112.1285371
"1510 S 19th Dr, Phoenix, AZ 85009",33.4333631,-112.1009488
"1002 W Van Buren St, Phoenix, AZ 85007",33.45147191,-112.0864873
"6501 W Virginia Ave, Phoenix, AZ 85035",33.4760265,-112.2012096
"1549 E Jefferson St, Phoenix, AZ 85034",33.44713092,-112.048838
"3434 W Dunlap Ave, Phoenix, AZ 85021",33.56761892,-112.1335842
"3420 W Roosevelt St, Phoenix, AZ 85009",33.45913875,-112.1324073
"5550 S 20th St, Phoenix, AZ 85040",33.39497075,-112.0380142
"6700 W Latham St, Phoenix, AZ 85043",33.4611457,-112.2045445
"701 S 3rd Ave, Phoenix, AZ 85003",33.441029,-112.077131
"1425 S 5th Ave, Phoenix, AZ 85004",33.43446877,-112.0803694
"5749 S 20th St, Phoenix, AZ 85040",33.39428233,-112.0388079
"350 1st Ave, Phoenix, AZ 85003",33.452906,-112.07567
"2125 N 15th Ave, Phoenix, AZ 85007",33.47137814,-112.0912755
"4420 N 51st Ave, Phoenix, AZ 85031",33.50087165,-112.1697463
"4040 N 14th St, Phoenix, AZ 85014",33.4941672,-112.0521585
"4535 N 23rd Ave, Phoenix, AZ 85015",33.503634,-112.1078043
"2230 W Roeser Rd, Phoenix, AZ 85041",33.3989839,-112.1055956
"2578 E Thunderhill Pl, Phoenix, AZ 85048",33.30896175,-112.0295432
"17010 S 48th St, Phoenix, AZ 85048",33.29183551,-111.9804905
"8866 W Thunderbird Rd, Peoria, AZ 85381",33.60991551,-112.2477837
"1431 E Southern Ave, Phoenix, AZ 85040",33.39185415,-112.0502478
"1320 N 15th St, Phoenix, AZ 85006",33.4634929,-112.050228
"212 E Alta Vista Rd, Phoenix, AZ 85042",33.3888976,-112.0704114
"FQQC9W8, 7810 W Osborn Rd, Phoenix, AZ 85033",33.48737411,-112.2275319
"301 W Dunlap Ave, Phoenix, AZ 85020",33.5672718,-112.0786704
"1 E Washington St 250, Phoenix, AZ 85004",33.44794505,-112.0731123
"915 N Central Ave, Phoenix, AZ 85004",33.4583045,-112.0734626
"916 E Van Buren St, Phoenix, AZ 85006",33.45144016,-112.0617685
"830 W Tonto St, Phoenix, AZ 85007",33.438678,-112.083981
"3825 N 67th Ave, Phoenix, AZ 85033",33.4918095,-112.2023623
"5001 E Cheyenne Dr Suite 101, Phoenix, AZ 85044",33.34535963,-111.9773696
"500 N 30th Pl, Phoenix, AZ 85008",33.455071,-112.016061
"5517 N 17th Ave, Phoenix, AZ 85015",33.51713335,-112.0954939
"12450 W Cinnabar Ave, El Mirage, AZ 85335",33.5750313,-112.3282547
"2301 N Miller Rd, Scottsdale, AZ 85257",33.4729629,-111.9168249
"185 N Riggles Ave, Quartzsite, AZ 85346",33.6703005,-114.1980754
"760 S Quartzsite Ave, Quartzsite, AZ 85346",33.6573,-114.2412
"1201 W Main St, Quartzsite, AZ 85359",33.66153655,-114.2368321
"YMCA, Ross Farnsworth East Valley, 807 S Sunview, Mesa, AZ 85206",33.38229178,-111.7056846
"828 E Broadway Rd, Mesa, AZ 85204",33.40965535,-111.8124375
"48286 Vicksburg Rd, Salome, AZ 85348",33.6336,-113.7683
"48710 Vicksburg Rd, Salome, AZ 85348",33.628,-113.7692
"2500 I-10BL, San Simon, AZ 85632",32.2719026,-109.2421632
"32805 Occidental Ave, San Tan Valley, AZ 85144",33.176515,-111.61075
"5401 Hayden Rd, Scottsdale, AZ 85250",33.5148463,-111.9068346
"2311 N Miller Rd, Scottsdale, AZ 85257",33.47206322,-111.917435
"4289 Hayden Rd, Scottsdale, AZ 85251",33.49803732,-111.9096469
"6869 E Shea Blvd, Scottsdale, AZ 85254",33.58160485,-111.9337324
"Exit, 123 I-40, Seligman, AZ 86337",35.3269285,-112.8767062
"845 S Crismon Rd, Mesa, AZ 85208",33.39894805,-111.6142182
"2701 N McGill Dr, Mesa, AZ 85207",33.476869,-111.617726
"90 E Civic Center Dr, Gilbert, AZ 85296",33.33063863,-111.7880108
"10626 W Thunderbird Blvd, Sun City, AZ 85351",33.6062511,-112.2874251
"9749 N 107th Ave, Sun City, AZ 85351",33.5718206,-112.2894135
"10725 W Oakmont Dr, Sun City, AZ 85351",33.6010345,-112.2913641
"9250 S Ave 40 E, Tacna, AZ 85352",32.69004,-113.95358
"30103004C, Tempe, AZ 85283",33.37219576,-111.9112839
"601 S College Ave, Tempe, AZ 85281",33.4250312,-111.9348623
"655 E Southern Ave, Tempe, AZ 85282",33.39225275,-111.9294222
"6111 S All America Way, Tempe, AZ 85283",33.3667902,-111.9363851
"80 W Rio Salado Pkwy, Tempe, AZ 85281",33.429745,-111.941295
"2121 N 15th Ave, Phoenix, AZ 85007",33.47133961,-112.0912758
"1440 E Glenrosa Ave, Phoenix, AZ 85014",33.49847557,-112.0509648
"15216 E Ranch Cir S, Phoenix, AZ 85044",33.309052,-111.998962
"6246 S 7th St, Phoenix, AZ 85042",33.38890385,-112.0660578
"8313 W Roosevelt St, Tolleson, AZ 85353",33.4580934,-112.2392718
"51701 W Van Buren St, Tonopah, AZ 85354",33.449712,-113.166773
"1010 N 339th Ave, Tonopah, AZ 85354",33.458729,-112.782644
"41112 Indian School Rd, Tonopah, AZ 85354",33.49407635,-112.9384309
"Queen Creek, AZ 85142",33.228009,-111.6246625
"4700 N Hwy Dr, Tucson, AZ 85705",32.293192,-111.026171
"9255 S Rita Rd, Tucson, AZ 85747",32.08444055,-110.8033243
"5570 E Travel Plaza Way, Tucson, AZ 85756",32.12630835,-110.874532
"3705 N Runway Dr Ste 113-117, Tucson, AZ 85705",32.274648,-111.008285
"1375 E Broadway Rd, Phoenix, AZ 85040",33.40590365,-112.0528579
"2240 W Citrus Way, Phoenix, AZ 85015",33.529952,-112.106044
"1055 N Grand Canyon Blvd, Williams, AZ 86046",35.262432,-112.193684
"400 Transcon Ln, Winslow, AZ 86047",35.013947,-110.67655
"720 Transcon Ln, Winslow, AZ 86047",35.0189601,-110.6735073
"2201 N Park Dr, Winslow, AZ 86047",35.04116716,-110.6980095
"818 Airport Rd, Winslow, AZ 86047",35.02194518,-110.7154388
"12551 Mohave Center Blvd, Yucca, AZ 86438",34.86156615,-114.141667
"11235 S Fortuna Rd, Yuma, AZ 85367",32.66814,-114.44344
"6544 Old US Hwy 80, Yuma, AZ 85365",32.66960936,-114.5896777
"2931 Gila Ridge Rd, Yuma, AZ 85365",32.69120026,-114.5982046
"10800 N Frontage Rd, Yuma, AZ 85365",32.671009,-114.448663
"Chandler, AZ 85286",33.27046282,-111.8301053
"510 N Horne St, Gilbert, AZ 85233",33.35757625,-111.8183016
"Mesa, AZ 85210",33.37814004,-111.847196
"1003 Mills Park Rd, Bryant, AR 72022",34.60330638,-92.48131798
"5211 B Lake Norrell Rd, Alexander, AR 72002",34.719286,-92.63885
"8265 AR-282, Alma, AR 72921",35.538913,-94.229381
"8060 AR-282, Alma, AR 72921",35.540513,-94.235526
"93 Park Rd, Bigelow, AR 72016",35.002146,-92.633452
"305 Priest Rd, Beebe, AR 72012",35.08646077,-91.89591602
"170 Valley St, Arkadelphia, AR 71923",34.18664,-93.070255
"913 E Sevier St, Benton, AR 72015",34.56350897,-92.57795481
"17724 I-30 1, Benton, AR 72019",34.605806,-92.530813
"805 22037-000, Benton, AR 72015",25.35244,51.449988
"1214B Military Rd, Benton, AR 72015",34.575582,-92.5783191
"2101 US 49, Brinkley, AR 72021",34.91246945,-91.19605534
